Var1,foldSize,accuracy,sensitivity,specificity
KNN Classifier k-7,10,0.787234042553192,0.862068965517241,0.534883720930233
Decision Tree,10,0.787234042553192,0.875862068965517,0.488372093023256
Linear SVM Model,10,0.765957446808511,0.855172413793103,0.465116279069767
Linear SVM Model,10,0.787234042553192,0.862068965517241,0.534883720930233
KNN Classifier k-5,5,0.668435013262599,0.593939393939394,0.726415094339623
KNN Classifier k-7,5,0.681697612732096,0.624242424242424,0.726415094339623
Decision Tree,5,0.660477453580902,0.606060606060606,0.702830188679245
Linear SVM Model,5,0.623342175066313,0.515151515151515,0.707547169811321
Linear SVM Model,5,0.718832891246684,0.660606060606061,0.764150943396226
KNN Classifier k-5,10,0.611702127659574,0.524390243902439,0.679245283018868
KNN Classifier k-7,10,0.622340425531915,0.548780487804878,0.679245283018868
Decision Tree,10,0.643617021276596,0.609756097560976,0.669811320754717
Linear SVM Model,10,0.632978723404255,0.51219512195122,0.726415094339623
Linear SVM Model,10,0.728723404255319,0.719512195121951,0.735849056603774
KNN Classifier k-5,5,0.938992042440318,0.986033519553073,0.0526315789473684
KNN Classifier k-7,5,0.944297082228117,0.994413407821229,0
Decision Tree,5,0.949602122015915,1,0
Linear SVM Model,5,0.909814323607427,0.952513966480447,0.105263157894737
Linear SVM Model,5,0.949602122015915,1,0
KNN Classifier k-5,10,0.936170212765957,0.983240223463687,0
KNN Classifier k-7,10,0.946808510638298,0.994413407821229,0
Decision Tree,10,0.946808510638298,0.994413407821229,0
Linear SVM Model,10,0.920212765957447,0.960893854748603,0.111111111111111
Linear SVM Model,10,0.952127659574468,1,0
